"Parameter","Median Posterior","90% HPDI (low)","90% HPDI (high)","Rhat","ESS"
"beta0",2743.92964827337,2644.16070289737,2835.3641175014,1.00042754087018,22266.14316265
"beta1",0.757288790433184,0.431675415568536,1.10636991652093,1.00009423665832,28394.4180944175
"rho",173.706873508057,96.0385749795551,258.679659711919,1.00092388755538,3031.73125727183
"etasq",0.0888191920874318,0.014708128462166,0.199262601001805,1.00023265455596,23223.607535133
